nome_funcionario,cargo,nome_departamento,localizacao,nome_projeto,descricao
João Silva,Desenvolvedor,TI,Andar 5,Sistema ERP,Implementação de novo sistema integrado
Maria Santos,Gerente de RH,RH,Andar 2,Treinamento Corporativo,Programa de capacitação para funcionários
Carlos Oliveira,Analista Financeiro,Financeiro,Andar 3,Otimização de Custos,Análise e redução de despesas
Ana Pereira,Designer,Marketing,Andar 4,Campanha Verão,Lançamento de nova linha de produtos
Pedro Costa,Vendedor,Vendas,Andar 1,Expansão de Mercado,Abertura de novas filiais
Luiza Almeida,Engenheira de Produção,Produção,Andar 0,Automação Industrial,Modernização das linhas de produção
Fernando Souza,Advogado,Jurídico,Andar 2,Conformidade Legal,Adequação às novas leis trabalhistas
Juliana Lima,Coordenadora de Logística,Logística,Andar -1,Sistema de Rastreamento,Implementação de GPS em frota
Ricardo Martins,Pesquisador,Pesquisa,Andar 6,Novo Produto X,Pesquisa e desenvolvimento de novo item
Patrícia Rocha,Analista de Qualidade,Qualidade,Andar 0,ISO 9001,Certificação de qualidade
